cv_etendu_normalise,metier
"Utilisation de Kubernetes pour l’orchestration des conteneurs. Déploiement d’infrastructures sur AWS et Azure. Veille technologique sur les évolutions cloud-native. Expérience dans le support technique aux utilisateurs. Mise en place de processus d'intégration continue. Conception d’architectures cloud hautement disponibles sur AWS. Capacité à travailler en équipe dans des environnements agiles. Compétences en scripting (Bash, Python) pour l’automatisation. Maîtrise des systèmes d’exploitation Linux et Windows. Participation active à des projets open source. Diplôme d’ingénieur avec option systèmes distribués. Monitoring via Prometheus et Grafana.",Cloud computing
"Connaissance approfondie des bases de données relationnelles. Participation à des audits de performance des systèmes. Contribution à la documentation d’architecture de référence. Formation continue sur les technologies émergentes. Sécurisation des ressources cloud avec IAM. Participation à des meetups DevOps et SRE. Mise en place de solutions de monitoring cloud. Master en informatique avec spécialisation Cloud Computing. Capacité d’adaptation dans des contextes multiculturels. Déploiement d’infrastructures sur AWS et Azure. Expérience avec AWS, Azure, et Google Cloud Platform. Déploiement d’une application web en microservices sur Kubernetes.",Cloud computing
Supervision de la sécurité et de la conformité dans un environnement Azure. Conception d’architectures cloud hautement disponibles sur AWS. Participation active à des projets open source. Bootcamp sur l’architecture des services cloud chez Google Cloud. Création de pipelines CI/CD sur GitLab. Maîtrise des outils de virtualisation et de conteneurisation. Participation à des audits de performance des systèmes. Expérience dans la rédaction de documentation technique. Veille technologique sur les évolutions cloud-native. Mise en place de solutions de monitoring cloud. Automatisation avec Terraform et Ansible. Bonne communication écrite et orale en français et en anglais.,Cloud computing
"Gestion de réseaux virtuels cloud. Utilisation de Kubernetes pour l’orchestration des conteneurs. Participation à des meetups DevOps et SRE. Mise en place de processus d'intégration continue. Monitoring via Prometheus et Grafana. Compétence en gestion de projets informatiques. Expérience dans la rédaction de documentation technique. Compétences en scripting (Bash, Python) pour l’automatisation. Formation continue sur les technologies émergentes. Optimisation des coûts d’infrastructure via des services serverless. Participation à des audits de performance des systèmes. Participation à des meetups DevOps et SRE.",Cloud computing
"Formation DevOps et déploiement cloud avec Kubernetes. Capacité d’adaptation dans des contextes multiculturels. Capacité à travailler en équipe dans des environnements agiles. Participation à des meetups DevOps et SRE. Mise en place de solutions de monitoring cloud. Création de dashboards de monitoring pour le suivi applicatif. Déploiement d’infrastructures sur AWS, GCP et Azure. Formation continue sur les technologies émergentes. Connaissance approfondie des bases de données relationnelles. Expérience dans le support technique aux utilisateurs. Orchestration des microservices avec Kubernetes. Utilisation de Terraform pour l’infrastructure as code.",Cloud computing
"Compétences en scripting (Bash, Python) pour l’automatisation. Participation à des audits de performance des systèmes. Esprit d’analyse et rigueur dans la résolution de problèmes. Suivi des logs avec CloudWatch et Stackdriver. Connaissance approfondie des bases de données relationnelles. Mise en place de processus d'intégration continue. Monitoring via Prometheus et Grafana. Création de dashboards de monitoring pour le suivi applicatif. Formation DevOps et déploiement cloud avec Kubernetes. Déploiement d’infrastructures sur AWS, GCP et Azure. Optimisation des coûts d’infrastructure via des services serverless. Déploiement d’infrastructures sur AWS et Azure.",Cloud computing
"Maîtrise des outils de virtualisation et de conteneurisation. Déploiement d’infrastructures sur AWS et Azure. Esprit d’analyse et rigueur dans la résolution de problèmes. Formation continue sur les technologies émergentes. Capacité à travailler en équipe dans des environnements agiles. Expérience dans la rédaction de documentation technique. Gestion de réseaux virtuels cloud. Automatisation avec Terraform et Ansible. Contribution à la documentation d’architecture de référence. Compétences en scripting (Bash, Python) pour l’automatisation. Création de dashboards de monitoring pour le suivi applicatif. Mise en place de solutions de monitoring cloud.",Cloud computing
"Déploiement d’infrastructures sur AWS et Azure. Contribution à la documentation d’architecture de référence. Automatisation du déploiement avec Terraform et Ansible. Expérience dans la rédaction de documentation technique. Automatisation avec Terraform et Ansible. Contribution à la documentation d’architecture de référence. Connaissance approfondie des bases de données relationnelles. Mise en place de processus d'intégration continue. Maîtrise de Docker, Kubernetes, et Helm. Solide compréhension de la sécurité informatique. Monitoring via Prometheus et Grafana. Compétence en gestion de projets informatiques.",Cloud computing
"Utilisation de Kubernetes pour l’orchestration des conteneurs. Participation active à des projets open source. Déploiement d’infrastructures sur AWS et Azure. Orchestration des microservices avec Kubernetes. Solide compréhension de la sécurité informatique. Mise en place d’un VPC sécurisé multi-régions sur GCP. Connaissances en réseautique, pare-feu, et équilibreurs de charge. Animation de sessions de formation internes sur Kubernetes. Bootcamp sur l’architecture des services cloud chez Google Cloud. Veille technologique sur les évolutions cloud-native. Automatisation du déploiement avec Terraform et Ansible. Mise en place de solutions de monitoring cloud.",Cloud computing
Conception d’architectures cloud hautement disponibles sur AWS. Compétence en gestion de projets informatiques. Automatisation avec Terraform et Ansible. Veille technologique sur les évolutions cloud-native. Conteneurisation des services avec Docker. Mise en place de solutions de monitoring cloud. Participation à des meetups DevOps et SRE. Sécurisation des ressources cloud avec IAM. Création de pipelines CI/CD sur GitLab. Intégration d’un service d’authentification OAuth2 dans un environnement cloud. Expérience dans le support technique aux utilisateurs. Participation à des audits de performance des systèmes.,Cloud computing
"Gestion de réseaux virtuels cloud. Développement d’un système d’alerting temps réel basé sur CloudWatch. Capacité à travailler en équipe dans des environnements agiles. Supervision de la sécurité et de la conformité dans un environnement Azure. Master en informatique avec spécialisation Cloud Computing. Utilisation de Kubernetes pour l’orchestration des conteneurs. Compétence en gestion de projets informatiques. Capacité d’adaptation dans des contextes multiculturels. Connaissances en réseautique, pare-feu, et équilibreurs de charge. Participation à des meetups DevOps et SRE. Automatisation avec Terraform et Ansible. Compétences en scripting (Bash, Python) pour l’automatisation.",Cloud computing
"Participation active à des projets open source. Expérience avec AWS, Azure, et Google Cloud Platform. Bonne communication écrite et orale en français et en anglais. Compétences en scripting (Bash, Python) pour l’automatisation. Esprit d’analyse et rigueur dans la résolution de problèmes. Déploiement d’infrastructures sur AWS, GCP et Azure. Automatisation du déploiement avec Terraform et Ansible. Participation à des meetups DevOps et SRE. Connaissance approfondie des bases de données relationnelles. Mise en place de solutions de monitoring cloud. Déploiement d’infrastructures sur AWS et Azure. Solide compréhension de la sécurité informatique.",Cloud computing
"Certification AWS Certified Solutions Architect – Associate. Maîtrise de Docker, Kubernetes, et Helm. Capacité à travailler en équipe dans des environnements agiles. Contribution à la documentation d’architecture de référence. Conteneurisation des services avec Docker. Intégration d’un service d’authentification OAuth2 dans un environnement cloud. Supervision de la sécurité et de la conformité dans un environnement Azure. Esprit d’analyse et rigueur dans la résolution de problèmes. Automatisation du déploiement avec Terraform et Ansible. Expérience dans la rédaction de documentation technique. Suivi des logs avec CloudWatch et Stackdriver. Participation à des audits de performance des systèmes.",Cloud computing
"Connaissances en réseautique, pare-feu, et équilibreurs de charge. Orchestration des microservices avec Kubernetes. Utilisation de Kubernetes pour l’orchestration des conteneurs. Monitoring via Prometheus et Grafana. Mise en place d’un VPC sécurisé multi-régions sur GCP. Mise en place de processus d'intégration continue. Bonne communication écrite et orale en français et en anglais. Automatisation avec Terraform et Ansible. Certification AWS Certified Solutions Architect – Associate. Maîtrise des outils de virtualisation et de conteneurisation. Maîtrise de Docker, Kubernetes, et Helm. Optimisation des coûts d’infrastructure via des services serverless.",Cloud computing
"Collaboration avec les équipes marketing pour optimiser les campagnes. Contribution à la migration de rapports vers le cloud. Bonne communication écrite et orale en français et en anglais. Prévision de ventes à l’aide de modèles statistiques. Solides compétences en SQL pour interroger des bases relationnelles. Participation à des audits de performance des systèmes. Rédaction de rapports de synthèse pour les managers. Rédaction de rapports de synthèse pour les managers. Maîtrise des outils de virtualisation et de conteneurisation. Exemple de contribution spécifique au métier : Data analyst. Maîtrise de Python (pandas, matplotlib, seaborn) et R. Expérience dans la rédaction de documentation technique.",Data analyst
"Connaissance des outils BI comme Power BI, Tableau, Metabase. Développement d’un tableau de bord KPI pour la direction. Création de dashboards interactifs. Solide compréhension de la sécurité informatique. Analyse exploratoire avec Python et Tableau. Contribution à la migration de rapports vers le cloud. Création de dashboards interactifs sous Power BI et Tableau. Formation continue sur les technologies émergentes. Participation active à des projets open source. Exemple de contribution spécifique au métier : Data analyst. Participation à des audits de performance des systèmes. Esprit d’analyse et rigueur dans la résolution de problèmes.",Data analyst
"Nettoyage et transformation de données hétérogènes. Analyse exploratoire avec Python et Tableau. Maîtrise de Python (pandas, matplotlib, seaborn) et R. Collaboration avec les équipes marketing pour optimiser les campagnes. Participation active à des projets open source. Connaissance approfondie des bases de données relationnelles. Nettoyage et transformation de informations massives avec Python. Expérience dans la rédaction de documentation technique. Maîtrise des outils de virtualisation et de conteneurisation. Esprit d’analyse et rigueur dans la résolution de problèmes. Maîtrise des systèmes d’exploitation Linux et Windows. Exemple de contribution spécifique au métier : Data analyst.",Data analyst
"Exemple de contribution spécifique au métier : Data analyst. Expérience dans le support technique aux utilisateurs. Maîtrise de Python (pandas, matplotlib, seaborn) et R. Visualisation de la performance RH sur plusieurs sites. Solide compréhension de la sécurité informatique. Préparation de jeux de données pour le machine learning. Capacité d’adaptation dans des contextes multiculturels. Formation continue sur les technologies émergentes. Exemple de contribution spécifique au métier : Data analyst. Exemple de contribution spécifique au métier : Data analyst. Nettoyage et transformation de données hétérogènes. Formation spécialisée en Business Intelligence.",Data analyst
"Capacité à travailler en équipe dans des environnements agiles. Préparation de jeux de données pour le machine learning. Utilisation d'Excel avancé (formules, tableaux croisés dynamiques). Bonne communication écrite et orale en français et en anglais. Formation continue sur les technologies émergentes. Capacité d’adaptation dans des contextes multiculturels. Exemple de contribution spécifique au métier : Data analyst. Participation à des audits de performance des systèmes. Exemple de contribution spécifique au métier : Data analyst. Expérience dans le support technique aux utilisateurs. Développement d’un tableau de bord KPI pour la direction. Connaissance des outils BI comme Power BI, Tableau, Metabase.",Data analyst
"Formation spécialisée en Business Intelligence. Solide compréhension de la sécurité informatique. Nettoyage et transformation de données massives avec Python. Capacité d’adaptation dans des contextes multiculturels. Formation continue sur les technologies émergentes. Création de dashboards interactifs. Expérience dans le support technique aux utilisateurs. Participation à des audits de performance des systèmes. Compétences en storytelling de informations et communication visuelle. Compétence en gestion de projets informatiques. Exemple de contribution spécifique au métier : Data analyst. Utilisation d'Excel avancé (formules, tableaux croisés dynamiques).",Data analyst
"Connaissance des outils BI comme Power BI, Tableau, Metabase. Expérience dans la rédaction de documentation technique. Exemple de contribution spécifique au métier : Data analyst. Bonne communication écrite et orale en français et en anglais. Analyse exploratoire avec Python et Tableau. Exemple de contribution spécifique au métier : Data analyst. Compétences en storytelling de informations et communication visuelle. Nettoyage et transformation de données massives avec Python. Visualisation de KPIs pour la prise de décision. Création de dashboards interactifs. Préparation de jeux de données pour le machine learning. Compétence en gestion de projets informatiques.",Data analyst
"Mise en place de procédures d'automatisation de reporting. Contribution à la migration de rapports vers le cloud. Exemple de contribution spécifique au métier : Data analyst. Bonne communication écrite et orale en français et en anglais. Formation continue sur les technologies émergentes. Utilisation d'Excel avancé (formules, tableaux croisés dynamiques). Compétence en gestion de projets informatiques. Connaissance approfondie des bases de données relationnelles. Prévision de ventes à l’aide de modèles statistiques. Esprit d’analyse et rigueur dans la résolution de problèmes. Solide compréhension de la sécurité informatique. Collaboration avec les équipes marketing pour optimiser les campagnes.",Data analyst
"Nettoyage et transformation de données hétérogènes. Utilisation d'Excel avancé (formules, tableaux croisés dynamiques). Contribution à la migration de rapports vers le cloud. Expérience dans la rédaction de documentation technique. Exemple de contribution spécifique au métier : Data analyst. Solides compétences en SQL pour interroger des bases relationnelles. Développement d’un tableau de bord KPI pour la direction. Compétence en gestion de projets informatiques. Master en statistiques et science des données. Mise en place de procédures d'automatisation de reporting. Mise en place de processus d'intégration continue. Création de dashboards interactifs.",Data analyst
"Rédaction de rapports de synthèse pour les managers. Mise en place de procédures d'automatisation de reporting. Nettoyage et transformation de données hétérogènes. Bootcamp en data science et visualisation. Compétence en gestion de projets informatiques. Collaboration avec les équipes marketing pour optimiser les campagnes. Connaissance approfondie des bases de données relationnelles. Visualisation de la performance RH sur plusieurs sites. Mise en place de processus d'intégration continue. Maîtrise de Python (pandas, matplotlib, seaborn) et R. Exemple de contribution spécifique au métier : Data analyst. Exemple de contribution spécifique au métier : Data analyst.",Data analyst
"Exemple de contribution spécifique au métier : Data analyst. Compétence en gestion de projets informatiques. Solides compétences en SQL pour interroger des bases relationnelles. Analyse des performances commerciales à l'aide de SQL et Excel. Mise en place de procédures d'automatisation de reporting. Solide compréhension de la sécurité informatique. Préparation de jeux de données pour le machine learning. Participation à des audits de performance des systèmes. Maîtrise de Python (pandas, matplotlib, seaborn) et R. Exemple de contribution spécifique au métier : Data analyst. Contribution à la migration de rapports vers le cloud. Formation spécialisée en Business Intelligence.",Data analyst
"Rédaction de rapports de synthèse pour les managers. Préparation de jeux de données pour le machine learning. Segmentation client basée sur les comportements d’achat. Exemple de contribution spécifique au métier : Data analyst. Formation spécialisée en Business Intelligence. Connaissance approfondie des bases de données relationnelles. Maîtrise des outils de virtualisation et de conteneurisation. Compétences en storytelling de données et communication visuelle. Capacité d’adaptation dans des contextes multiculturels. Maîtrise de Python (pandas, matplotlib, seaborn) et R. Solide compréhension de la sécurité informatique. Participation active à des projets open source.",Data analyst
Exemple de contribution spécifique au métier : Data analyst. Visualisation de KPIs pour la prise de décision. Mise en place de procédures d'automatisation de reporting. Mise en place de processus d'intégration continue. Expérience dans le support technique aux utilisateurs. Analyse de churn client pour une plateforme e-commerce. Bonne communication écrite et orale en français et en anglais. Création de dashboards interactifs sous Power BI et Tableau. Formation spécialisée en Business Intelligence. Rédaction de rapports de synthèse pour les managers. Collaboration avec les équipes marketing pour optimiser les campagnes. Maîtrise des outils de virtualisation et de conteneurisation.,Data analyst
Exemple de contribution spécifique au métier : Data analyst. Exemple de contribution spécifique au métier : Data analyst. Licence professionnelle en analyse de informations. Exemple de contribution spécifique au métier : Data analyst. Maîtrise des systèmes d’exploitation Linux et Windows. Analyse exploratoire avec Python et Tableau. Création de dashboards interactifs sous Power BI et Tableau. Expérience dans le support technique aux utilisateurs. Compétence en gestion de projets informatiques. Nettoyage et transformation de données massives avec Python. Expérience dans la rédaction de documentation technique. Bonne communication écrite et orale en français et en anglais.,Data analyst
Création de dashboards interactifs sous Power BI et Tableau. Capacité d’adaptation dans des contextes multiculturels. Création de dashboards interactifs. Analyse exploratoire avec Python et Tableau. Préparation de jeux de données pour le machine learning. Expérience dans la rédaction de documentation technique. Bonne communication écrite et orale en français et en anglais. Formation interne des collaborateurs sur Excel et Power BI. Exemple de contribution spécifique au métier : Data analyst. Participation à des audits de performance des systèmes. Visualisation de KPIs pour la prise de décision. Exemple de contribution spécifique au métier : Data analyst.,Data analyst
"Maîtrise de Python (pandas, matplotlib, seaborn) et R. Participation à des compétitions Kaggle. Participation active à des projets open source. Esprit d’analyse et rigueur dans la résolution de problèmes. Exemple de contribution spécifique au métier : Data analyst. Certification Google Data Analytics. Analyse exploratoire avec Python et Tableau. Création de dashboards interactifs. Compétences en storytelling de données et communication visuelle. Exemple de contribution spécifique au métier : Data analyst. Exemple de contribution spécifique au métier : Data analyst. Analyse des performances commerciales à l'aide de SQL et Excel.",Data analyst
"Visualisation de KPIs pour la prise de décision. Collaboration avec les équipes marketing pour optimiser les campagnes. Participation à des compétitions Kaggle. Mise en place de procédures d'automatisation de reporting. Exemple de contribution spécifique au métier : Data analyst. Solide compréhension de la sécurité informatique. Maîtrise de Python (pandas, matplotlib, seaborn) et R. Exemple de contribution spécifique au métier : Data analyst. Analyse exploratoire avec Python et Tableau. Création de dashboards interactifs. Exemple de contribution spécifique au métier : Data analyst. Contribution à la migration de rapports vers le cloud.",Data analyst
"Création de dashboards interactifs sous Power BI et Tableau. Mise en place de processus d'intégration continue. Exemple de contribution spécifique au métier : Data analyst. Connaissance approfondie des bases de données relationnelles. Contribution à la migration de rapports vers le cloud. Analyse exploratoire avec Python et Tableau. Création de dashboards interactifs. Exemple de contribution spécifique au métier : Data analyst. Rédaction de rapports de synthèse pour les managers. Maîtrise de Python (pandas, matplotlib, seaborn) et R. Compétences en storytelling de données et communication visuelle. Préparation de jeux de données pour le machine learning.",Data analyst
"Expérience dans le support technique aux utilisateurs. Participation à des compétitions Kaggle. Rédaction de rapports de synthèse pour les managers. Création de dashboards interactifs sous Power BI et Tableau. Connaissance approfondie des bases de données relationnelles. Exemple de contribution spécifique au métier : Data analyst. Bonne communication écrite et orale en français et en anglais. Mise en place de processus d'intégration continue. Capacité à travailler en équipe dans des environnements agiles. Analyse exploratoire avec Python et Tableau. Exemple de contribution spécifique au métier : Data analyst. Maîtrise de Python (pandas, matplotlib, seaborn) et R.",Data analyst
Maîtrise des outils de virtualisation et de conteneurisation. Nettoyage et transformation de données massives avec Python. Certification Google Data Analytics. Esprit d’analyse et rigueur dans la résolution de problèmes. Collaboration avec les équipes marketing pour optimiser les campagnes. Exemple de contribution spécifique au métier : Data analyst. Analyse de churn client pour une plateforme e-commerce. Capacité d’adaptation dans des contextes multiculturels. Rédaction de rapports de synthèse pour les managers. Exemple de contribution spécifique au métier : Data analyst. Nettoyage et transformation de données hétérogènes. Maîtrise des systèmes d’exploitation Linux et Windows.,Data analyst
"Utilisation d'Excel avancé (formules, tableaux croisés dynamiques). Formation spécialisée en Business Intelligence. Formation interne des collaborateurs sur Excel et Power BI. Compétence en gestion de projets informatiques. Analyse exploratoire avec Python et Tableau. Développement d’un tableau de bord KPI pour la direction. Bonne communication écrite et orale en français et en anglais. Exemple de contribution spécifique au métier : Data analyst. Visualisation de KPIs pour la prise de décision. Analyse des performances commerciales à l'aide de SQL et Excel. Exemple de contribution spécifique au métier : Data analyst. Expérience dans le support technique aux utilisateurs.",Data analyst
"Préparation de jeux de données pour le machine learning. Capacité d’adaptation dans des contextes multiculturels. Création de dashboards interactifs. Utilisation d'Excel avancé (formules, tableaux croisés dynamiques). Exemple de contribution spécifique au métier : Data analyst. Exemple de contribution spécifique au métier : Data analyst. Maîtrise de Python (pandas, matplotlib, seaborn) et R. Expérience dans le support technique aux utilisateurs. Nettoyage et transformation de données hétérogènes. Esprit d’analyse et rigueur dans la résolution de problèmes. Compétence en gestion de projets informatiques. Maîtrise des outils de virtualisation et de conteneurisation.",Data analyst
"Création de dashboards interactifs sous Power BI et Tableau. Participation à des audits de performance des systèmes. Nettoyage et transformation de données hétérogènes. Utilisation d'Excel avancé (formules, tableaux croisés dynamiques). Rédaction de rapports de synthèse pour les managers. Capacité d’adaptation dans des contextes multiculturels. Formation continue sur les technologies émergentes. Solides compétences en SQL pour interroger des bases relationnelles. Développement d’un tableau de bord KPI pour la direction. Visualisation de KPIs pour la prise de décision. Collaboration avec les équipes marketing pour optimiser les campagnes. Licence professionnelle en analyse de données.",Data analyst
"Analyse exploratoire avec Python et Tableau. Connaissance approfondie des bases de données relationnelles. Expérience dans la rédaction de documentation technique. Mise en place de processus d'intégration continue. Collaboration avec les équipes marketing pour optimiser les campagnes. Utilisation d'Excel avancé (formules, tableaux croisés dynamiques). Bonne communication écrite et orale en français et en anglais. Exemple de contribution spécifique au métier : Data analyst. Visualisation de KPIs pour la prise de décision. Création de dashboards interactifs. Capacité d’adaptation dans des contextes multiculturels. Exemple de contribution spécifique au métier : Data analyst.",Data analyst
"Exemple de contribution spécifique au métier : Data analyst. Capacité d’adaptation dans des contextes multiculturels. Utilisation d'Excel avancé (formules, tableaux croisés dynamiques). Master en statistiques et science des données. Contribution à la migration de rapports vers le cloud. Collaboration avec les équipes marketing pour optimiser les campagnes. Connaissance approfondie des bases de données relationnelles. Participation active à des missions open source. Mise en place de processus d'intégration continue. Analyse de churn client pour une plateforme e-commerce. Nettoyage et transformation de données hétérogènes. Esprit d’analyse et rigueur dans la résolution de problèmes.",Data analyst
"Collaboration avec les équipes marketing pour optimiser les campagnes. Maîtrise de Python (pandas, matplotlib, seaborn) et R. Exemple de contribution spécifique au métier : Data analyst. Nettoyage et transformation de données hétérogènes. Formation interne des collaborateurs sur Excel et Power BI. Expérience dans la rédaction de documentation technique. Solide compréhension de la sécurité informatique. Nettoyage et transformation de données massives avec Python. Compétence en gestion de projets informatiques. Certification Google Data Analytics. Exemple de contribution spécifique au métier : Data analyst. Solides compétences en SQL pour interroger des bases relationnelles.",Data analyst
Participation à des compétitions Kaggle. Certification Google Data Analytics. Analyse exploratoire avec Python et Tableau. Mise en place de processus d'intégration continue. Visualisation de KPIs pour la prise de décision. Exemple de contribution spécifique au métier : Data analyst. Participation active à des projets open source. Expérience dans la rédaction de documentation technique. Nettoyage et transformation de données massives avec Python. Création de dashboards interactifs sous Power BI et Tableau. Bonne communication écrite et orale en français et en anglais. Esprit d’analyse et rigueur dans la résolution de problèmes.,Data analyst
"Utilisation d'Excel avancé (formules, tableaux croisés dynamiques). Visualisation de KPIs pour la prise de décision. Rédaction de rapports de synthèse pour les managers. Exemple de contribution spécifique au métier : Data analyst. Bootcamp en data science et visualisation. Mise en place de procédures d'automatisation de reporting. Capacité à travailler en équipe dans des environnements agiles. Visualisation de la performance RH sur plusieurs sites. Participation active à des projets open source. Esprit d’analyse et rigueur dans la résolution de problèmes. Création de dashboards interactifs sous Power BI et Tableau. Expérience dans la rédaction de documentation technique.",Data analyst
"Bonne communication écrite et orale en français et en anglais. Nettoyage et transformation de données hétérogènes. Solide compréhension de la sécurité informatique. Maîtrise de Python (pandas, matplotlib, seaborn) et R. Compétences en storytelling de données et communication visuelle. Capacité à travailler en équipe dans des environnements agiles. Participation à des compétitions Kaggle. Master en statistiques et science des données. Création de dashboards interactifs. Rédaction de rapports de synthèse pour les managers. Maîtrise des systèmes d’exploitation Linux et Windows. Mise en place de procédures d'automatisation de reporting.",Data analyst
"Compétence en gestion de projets informatiques. Nettoyage et transformation de données hétérogènes. Exemple de contribution spécifique au métier : Data analyst. Création de dashboards interactifs. Bootcamp en data science et visualisation. Participation à des audits de performance des systèmes. Bonne communication écrite et orale en français et en anglais. Exemple de contribution spécifique au métier : Data analyst. Maîtrise des outils de virtualisation et de conteneurisation. Analyse des performances commerciales à l'aide de SQL et Excel. Utilisation d'Excel avancé (formules, tableaux croisés dynamiques). Formation interne des collaborateurs sur Excel et Power BI.",Data analyst
Visualisation de KPIs pour la prise de décision. Compétence en gestion de projets informatiques. Maîtrise des outils de virtualisation et de conteneurisation. Expérience dans le support technique aux utilisateurs. Solide compréhension de la sécurité informatique. Exemple de contribution spécifique au métier : Data analyst. Analyse exploratoire avec Python et Tableau. Nettoyage et transformation de données massives avec Python. Formation spécialisée en Business Intelligence. Collaboration avec les équipes marketing pour optimiser les campagnes. Maîtrise des systèmes d’exploitation Linux et Windows. Création de dashboards interactifs.,Data analyst
"Mise en place de procédures d'automatisation de reporting. Maîtrise de Python (pandas, matplotlib, seaborn) et R. Création de dashboards interactifs sous Power BI et Tableau. Maîtrise des systèmes d’exploitation Linux et Windows. Nettoyage et transformation de données hétérogènes. Exemple de contribution spécifique au métier : Data analyst. Analyse des performances commerciales à l'aide de SQL et Excel. Bonne communication écrite et orale en français et en anglais. Analyse exploratoire avec Python et Tableau. Bootcamp en data science et visualisation. Esprit d’analyse et rigueur dans la résolution de problèmes. Participation active à des projets open source.",Data analyst
"Création de dashboards interactifs. Utilisation d'Excel avancé (formules, tableaux croisés dynamiques). Capacité d’adaptation dans des contextes multiculturels. Capacité à travailler en équipe dans des environnements agiles. Bonne communication écrite et orale en français et en anglais. Expérience dans la rédaction de documentation technique. Maîtrise des outils de virtualisation et de conteneurisation. Solide compréhension de la sécurité informatique. Participation active à des projets open source. Développement d’un tableau de bord KPI pour la direction. Exemple de contribution spécifique au métier : Data analyst. Participation à des audits de performance des systèmes.",Data analyst
"Participation à des audits de performance des systèmes. Connaissance des outils BI comme Power BI, Tableau, Metabase. Participation à des compétitions Kaggle. Participation active à des projets open source. Création de dashboards interactifs sous Power BI et Tableau. Nettoyage et transformation de données hétérogènes. Compétence en gestion de projets informatiques. Analyse exploratoire avec Python et Tableau. Exemple de contribution spécifique au métier : Data analyst. Expérience dans le support technique aux utilisateurs. Rédaction de rapports de synthèse pour les managers. Maîtrise des outils de virtualisation et de conteneurisation.",Data analyst
"Certification Google Data Analytics. Capacité à travailler en équipe dans des environnements agiles. Prévision de ventes à l’aide de modèles statistiques. Participation à des audits de performance des systèmes. Expérience dans le support technique aux utilisateurs. Création de dashboards interactifs. Utilisation d'Excel avancé (formules, tableaux croisés dynamiques). Capacité d’adaptation dans des contextes multiculturels. Exemple de contribution spécifique au métier : Data analyst. Création de dashboards interactifs sous Power BI et Tableau. Exemple de contribution spécifique au métier : Data analyst. Nettoyage et transformation de informations hétérogènes.",Data analyst
Analyse exploratoire avec Python et Tableau. Analyse des performances commerciales à l'aide de SQL et Excel. Collaboration avec les équipes marketing pour optimiser les campagnes. Visualisation de KPIs pour la prise de décision. Mise en place de processus d'intégration continue. Solides compétences en SQL pour interroger des bases relationnelles. Bonne communication écrite et orale en français et en anglais. Licence professionnelle en analyse de données. Participation à des compétitions Kaggle. Compétence en gestion de missions informatiques. Participation active à des projets open source. Exemple de contribution spécifique au métier : Data analyst.,Data analyst
Solides compétences en SQL pour interroger des bases relationnelles. Expérience dans la rédaction de documentation technique. Participation à des compétitions Kaggle. Maîtrise des outils de virtualisation et de conteneurisation. Connaissance approfondie des bases de données relationnelles. Mise en place de procédures d'automatisation de reporting. Exemple de contribution spécifique au métier : Data analyst. Capacité d’adaptation dans des contextes multiculturels. Segmentation client basée sur les comportements d’achat. Exemple de contribution spécifique au métier : Data analyst. Expérience dans le support technique aux utilisateurs. Création de dashboards interactifs sous Power BI et Tableau.,Data analyst
"Compétence en gestion de projets informatiques. Maîtrise des outils de virtualisation et de conteneurisation. Segmentation client basée sur les comportements d’achat. Nettoyage et transformation de données massives avec Python. Création de dashboards interactifs. Nettoyage et transformation de données hétérogènes. Maîtrise de Python (pandas, matplotlib, seaborn) et R. Certification Google Data Analytics. Exemple de contribution spécifique au métier : Data analyst. Création de dashboards interactifs sous Power BI et Tableau. Compétences en storytelling de données et communication visuelle. Exemple de contribution spécifique au métier : Data analyst.",Data analyst
Création de dashboards interactifs. Maîtrise des systèmes d’exploitation Linux et Windows. Solide compréhension de la sécurité informatique. Expérience dans le support technique aux utilisateurs. Visualisation de KPIs pour la prise de décision. Contribution à la migration de rapports vers le cloud. Création de dashboards interactifs sous Power BI et Tableau. Exemple de contribution spécifique au métier : Data analyst. Collaboration avec les équipes marketing pour optimiser les campagnes. Mise en place de procédures d'automatisation de reporting. Segmentation client basée sur les comportements d’achat. Certification Google Data Analytics.,Data analyst
Visualisation de KPIs pour la prise de décision. Compétences en storytelling de données et communication visuelle. Expérience dans la rédaction de documentation technique. Nettoyage et transformation de données hétérogènes. Bonne communication écrite et orale en français et en anglais. Maîtrise des systèmes d’exploitation Linux et Windows. Rédaction de rapports de synthèse pour les managers. Création de dashboards interactifs. Master en statistiques et science des données. Exemple de contribution spécifique au métier : Data analyst. Esprit d’analyse et rigueur dans la résolution de problèmes. Création de dashboards interactifs sous Power BI et Tableau.,Data analyst
Formation continue sur les technologies émergentes. Création de dashboards interactifs. Analyse exploratoire avec Python et Tableau. Esprit d’analyse et rigueur dans la résolution de problèmes. Participation à des audits de performance des systèmes. Licence professionnelle en analyse de données. Rédaction de rapports de synthèse pour les managers. Création de dashboards interactifs sous Power BI et Tableau. Exemple de contribution spécifique au métier : Data analyst. Capacité d’adaptation dans des contextes multiculturels. Visualisation de la performance RH sur plusieurs sites. Bonne communication écrite et orale en français et en anglais.,Data analyst
